GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
scigility-kafka-streaming,ch.scigility.kafka,StreamProcessor,89,0,0,0,21,0,2,0,2,0
scigility-kafka-streaming,ch.scigility.kafka,Consumer,98,137,4,0,26,28,3,1,1,1
scigility-kafka-streaming,ch.scigility.kafka,StreamProducer,82,0,2,0,17,0,3,0,2,0
scigility-kafka-streaming,ch.scigility.kafka.canonical.avro,CommunicationsWaysSchema.Builder,904,0,48,0,130,0,60,0,36,0
scigility-kafka-streaming,ch.scigility.kafka.canonical.avro,CustomersSchema.Builder,904,0,48,0,130,0,60,0,36,0
scigility-kafka-streaming,ch.scigility.kafka.canonical.avro,AgentsSchema,288,0,18,0,75,0,48,0,32,0
scigility-kafka-streaming,ch.scigility.kafka.canonical.avro,CommunicationsWaysSchema,288,0,18,0,75,0,48,0,32,0
scigility-kafka-streaming,ch.scigility.kafka.canonical.avro,CustomersSchema,288,0,18,0,75,0,48,0,32,0
scigility-kafka-streaming,ch.scigility.kafka.canonical.avro,AddressesSchema,288,0,18,0,75,0,48,0,32,0
scigility-kafka-streaming,ch.scigility.kafka.canonical.avro,CoreContractsSchema.Builder,1124,0,60,0,160,0,74,0,44,0
scigility-kafka-streaming,ch.scigility.kafka.canonical.avro,PartnersSchema.Builder,904,0,48,0,130,0,60,0,36,0
scigility-kafka-streaming,ch.scigility.kafka.canonical.avro,NaturalPersonsSchema.Builder,904,0,48,0,130,0,60,0,36,0
scigility-kafka-streaming,ch.scigility.kafka.canonical.avro,CoreContractsSchema,334,0,22,0,87,0,56,0,36,0
scigility-kafka-streaming,ch.scigility.kafka.canonical.avro,AddressesSchema.Builder,904,0,48,0,130,0,60,0,36,0
scigility-kafka-streaming,ch.scigility.kafka.canonical.avro,AgentsSchema.Builder,904,0,48,0,130,0,60,0,36,0
scigility-kafka-streaming,ch.scigility.kafka.canonical.avro,ContractsSchema,180,131,2,18,52,29,31,21,29,5
scigility-kafka-streaming,ch.scigility.kafka.canonical.avro,LegalEntitiesSchema.Builder,904,0,48,0,130,0,60,0,36,0
scigility-kafka-streaming,ch.scigility.kafka.canonical.avro,LegalEntitiesSchema,288,0,18,0,75,0,48,0,32,0
scigility-kafka-streaming,ch.scigility.kafka.canonical.avro,PartnersSchema,288,0,18,0,75,0,48,0,32,0
scigility-kafka-streaming,ch.scigility.kafka.canonical.avro,ContractsSchema.Builder,1014,0,54,0,145,0,67,0,40,0
scigility-kafka-streaming,ch.scigility.kafka.canonical.avro,NaturalPersonsSchema,288,0,18,0,75,0,48,0,32,0
scigility-kafka-streaming,ch.scigility.kafka.canonical,JsonSerializer,26,0,2,0,9,0,5,0,4,0
scigility-kafka-streaming,ch.scigility.kafka.canonical,JsonDeserializer,36,0,2,0,13,0,5,0,4,0
scigility-kafka-streaming,ch.scigility.kafka.canonical,Landing,76,310,12,32,31,64,25,42,13,23
scigility-kafka-streaming,ch.scigility.kafka.canonical,ChangedFieldsList,38,39,0,0,13,15,7,10,7,10
scigility-kafka-streaming,ch.scigility.kafka.canonical,ContractSchema,288,0,18,0,75,0,48,0,32,0
scigility-kafka-streaming,ch.scigility.kafka.canonical,ContractSchema.Builder,904,0,48,0,130,0,60,0,36,0
scigility-kafka-streaming,ch.scigility.kafka.canonical,Partners,185,0,4,0,41,0,6,0,4,0
scigility-kafka-streaming,ch.scigility.kafka.canonical,ContractsSchema.Builder,904,0,48,0,130,0,60,0,36,0
scigility-kafka-streaming,ch.scigility.kafka.canonical,ContractsSchema,288,0,18,0,75,0,48,0,32,0
